UserId,FullName,Email,Phone,CPF,BirthDate,Balance,Agency,NumAccount,Status,createdAt,CEP,Address,Num,Complement,Neighborhood,City,State
31,Luiz Fernando Machado,matteoda-rocha@example.org,84 4401-5375,162.059.478-11,1973-10-23,9887.59,9489,372629,inactive,2024-05-08 20:04:24.914322,"Jardim Pinto, 18",Vila Oeste,41918811 Barros dos Dourados / AM,,,,
32,Isaque Fogaça,maria-sophiada-paz@example.net,41 3121-8440,975.026.831-86,1977-01-01,5899.9,7618,836742,inactive,2021-04-05 16:28:43.089147,"Trecho Cassiano, 91",Vila Da Paz,69184-871 Borges do Campo / RR,,,,
33,Sr. Leonardo Dias,nathan59@example.com,0900 457 9123,954.760.128-85,1924-08-04,1005.05,2508,869629,inactive,2021-07-23 20:12:14.945479,"Sítio Aragão, 3",Xodo-Marize,13108-108 Casa Grande das Flores / TO,,,,
34,Dr. Anthony Gabriel Vasconcelos,uvargas@example.net,(051) 1043 8984,719.084.263-22,1986-06-23,2313.08,8796,260997,inactive,2021-01-25 13:17:53.759984,"Morro Esther Almeida, 975",Engenho Nogueira,42760156 Duarte das Flores / BA,,,,
35,Emanuelly Camargo,marcelomartins@example.com,(011) 7805 5663,094.568.172-02,1931-03-10,3158.23,7409,974042,inactive,2021-02-23 17:59:28.922422,"Avenida de Pires, 77",Mariano De Abreu,87721861 Cirino / MS,,,,
36,Ana Lívia das Neves,igor22@example.net,0900 764 3175,914.053.786-20,1955-05-11,5002.01,4986,188516,active,2020-08-03 23:06:56.768681,"Trevo de Alves, 2",Maria Virgínia,28069-443 da Mota da Praia / MT,,,,
37,Agatha Abreu,theo69@example.org,+55 71 1040-1804,539.268.701-68,1992-04-16,8172.06,2260,752003,active,2021-12-26 00:48:19.770307,"Colônia Cassiano, 48",Vila Maria,37524-690 Freitas da Prata / GO,,,,
38,Lucca da Cruz,gmoraes@example.net,81 8767 9305,189.407.326-69,2006-05-11,1621.19,6310,701625,inactive,2022-06-26 15:34:16.517394,"Núcleo Araújo, 18",Bela Vitoria,40065-969 da Cruz / AC,,,,
39,Emanuel Mendonça,sophieaparecida@example.net,(071) 4799-0421,286.431.097-03,1939-01-30,2429.72,3019,361817,inactive,2021-02-01 22:07:49.203790,"Núcleo Pietra Sousa, 3",Nova Floresta,73629616 Mendonça dos Dourados / TO,,,,
40,Pietra Pires,marianaborges@example.com,+55 (011) 9731 2902,293.586.140-05,1942-07-25,1149.72,9161,413719,inactive,2021-04-19 21:38:17.889572,Viaduto da Costa,Nossa Senhora Da Aparecida,46086847 Abreu / DF,,,,
41,Nicolas Martins,maria-eduardaalbuquerque@example.net,+55 (081) 9504 4068,623.879.405-47,1989-06-15,2112.25,8324,734337,inactive,2020-02-15 11:08:54.147456,Ladeira Cirino,Mariano De Abreu,12551-144 Silva do Norte / AM,,,,
42,Zoe Ribeiro,vsa@example.org,(031) 7651-0655,762.043.198-50,1945-03-02,3262.16,7238,480751,inactive,2021-12-05 11:30:31.739671,"Esplanada de da Paz, 42",Mirtes,54468539 Ramos / PB,,,,
43,Clara Cardoso,rcastro@example.org,+55 21 3717-1677,281.073.546-80,1974-01-03,7108.1,5588,658126,inactive,2020-08-13 02:20:55.181911,"Parque de Pires, 42",Esplanada,73154740 Santos de Moraes / PI,,,,
44,Sra. Sabrina Jesus,araujoagatha@example.com,81 7962 6362,653.721.984-19,2003-05-26,6548.69,9927,297681,inactive,2024-02-04 16:17:25.114569,"Rodovia Vasconcelos, 36",Bacurau,18929413 Vieira / RS,,,,
45,Hellena Vargas,fariasclarice@example.com,+55 81 9604 7160,850.613.942-24,1993-04-01,1312.59,7048,972734,inactive,2022-09-11 04:54:45.587658,"Viela Maysa Siqueira, 8",São Francisco,05649100 Oliveira das Pedras / MG,,,,
46,Eloah da Cruz,rhavi63@example.org,+55 84 8352-8014,251.938.647-91,1951-09-11,5861.43,2211,756184,active,2022-06-13 21:38:18.462028,"Chácara Carolina Moreira, 4",Cidade Jardim,57548-999 Garcia de Câmara / PR,,,,
47,Léo Teixeira,lunapinto@example.com,(031) 5781 8499,145.897.362-09,1974-10-22,7064.4,1171,673805,active,2020-03-07 07:35:46.966651,"Campo Isis Pacheco, 28",Olaria,63430-875 Cunha / RO,,,,
48,Raquel Barbosa,viniciuscarvalho@example.net,71 5990-2995,054.329.768-38,1951-09-16,8748.92,1819,464398,active,2020-08-24 14:40:24.127752,"Ladeira Sá, 215",Atila De Paiva,37738546 da Conceição / RS,,,,
49,Sr. João Miguel Novaes,isaac63@example.com,+55 (081) 8532-4262,265.473.098-00,1976-09-01,8405.49,3135,881192,active,2023-06-13 05:19:45.442964,"Praça de Rocha, 91",São Vicente,43208-978 da Luz de Minas / BA,,,,
50,Kamilly Rios,dfonseca@example.org,+55 (084) 4571 4246,496.813.570-00,2004-02-19,5188.68,3869,630315,inactive,2022-09-04 19:33:45.658475,"Núcleo Vargas, 131",Funcionários,42075906 Cavalcanti / SC,,,,
51,Dr. Otávio Albuquerque,lrodrigues@example.net,+55 51 5617 5156,982.471.356-55,1967-02-25,4429.82,1315,877071,inactive,2023-10-06 03:54:43.498793,Trecho da Costa,Canadá,26718242 Ferreira / RN,,,,
52,Matheus Almeida,yvieira@example.org,+55 84 0120 6292,098.415.367-57,1990-04-28,9351.67,7816,921118,active,2022-01-13 12:21:48.816751,"Lagoa Silva, 35",Barão Homem De Melo 3ª Seção,36092321 da Rocha / GO,,,,
53,Calebe Lima,da-matamaria-cecilia@example.org,+55 71 6081 9596,042.361.975-61,1947-01-04,7046.96,2972,492216,active,2022-03-25 18:27:33.144706,"Colônia de Monteiro, 6",Novo Ouro Preto,23238577 Pires do Campo / SP,,,,
54,Maysa Dias,thales46@example.org,+55 (061) 5950-2188,183.927.450-60,1990-08-22,7323.33,5556,838198,inactive,2022-09-20 09:22:22.514951,"Quadra de Costela, 1",Betânia,56524-713 Lopes / SC,,,,
55,Ryan Campos,luanabrito@example.net,61 5741 4036,902.875.314-14,1952-01-16,4513.05,3717,968416,active,2022-12-23 11:15:09.774683,"Núcleo Yasmin da Paz, 441",São João,05475-227 Castro / MG,,,,
56,Sr. Bryan Pacheco,davi-luiz86@example.com,+55 (041) 9371 2576,608.327.541-53,1929-09-20,7387.39,3902,278187,active,2021-01-16 00:52:13.162237,"Quadra Liam Jesus, 451",Olaria,48746081 Correia das Flores / PA,,,,
57,Sr. João Vitor das Neves,theocunha@example.org,+55 11 0598 3815,345.762.910-25,1976-01-08,6222.54,1493,403483,inactive,2023-01-05 07:14:27.513401,"Parque de Ferreira, 33",Brasil Industrial,88058630 Porto do Oeste / PB,,,,
58,Benjamim Rodrigues,pauloda-mota@example.net,+55 (021) 4230 1664,940.325.678-83,1950-10-23,1862.05,6708,716264,inactive,2020-01-05 22:39:28.787656,"Viela de Mendes, 84",Unidas,67830280 Vasconcelos / RR,,,,
59,Srta. Ana Costa,novaesesther@example.org,(021) 9498 8739,728.351.649-28,1947-03-28,4752.21,3552,210467,active,2023-06-19 00:48:52.851880,"Viaduto de da Rocha, 9",Camargos,63463-493 da Paz do Galho / RN,,,,
60,Rodrigo Gomes,dbarbosa@example.org,11 7363-5327,273.958.041-04,1957-11-05,6764.61,5142,168815,active,2023-10-18 22:40:50.605535,"Loteamento de Araújo, 47",Nossa Senhora Da Conceição,41155-408 da Mota Grande / PE,,,,
61,Lorenzo da Cruz,ksa@example.net,41 8742 6076,975.084.213-88,1942-12-20,5565.33,9933,294655,active,2024-05-30 04:42:49.277827,"Fazenda Emilly Cavalcanti, 31",Bairro Das Indústrias Ii,14546-511 Gonçalves / PB,,,,
62,Sr. Francisco Porto,enzo-gabrielsouza@example.net,41 9824 6625,647.130.859-01,2005-07-23,3937.62,9343,342396,active,2020-06-12 16:20:33.204569,"Estrada Cardoso, 1",Aparecida 7ª Seção,82085952 Sousa / AL,,,,
63,Samuel Vasconcelos,da-luzotavio@example.net,(071) 0748 1005,287.349.061-69,1924-11-10,3204.55,9277,178883,active,2023-03-11 02:04:44.813077,"Estação Emilly Moreira, 37",Vista Alegre,92479-059 da Cunha / RS,,,,
64,Isaac Aragão,otaviopires@example.com,+55 11 9274-1317,685.703.294-74,1936-10-01,5126.15,4319,470530,active,2021-03-01 11:25:46.843820,"Largo de Pacheco, 283",Vila Tirol,63124-716 Sousa / RS,,,,
65,João Felipe Ramos,ana-claramacedo@example.net,+55 41 3927 9662,073.256.914-16,1963-03-28,9054.6,6982,270975,inactive,2021-12-29 04:45:05.448242,"Loteamento Bruna Aragão, 14",Minas Brasil,14927915 Cirino / PE,,,,
66,Joana Carvalho,mathias74@example.net,71 1984 8601,753.410.829-23,1941-01-23,4270.32,6657,687441,active,2020-07-23 22:32:00.567014,"Passarela Pinto, 27",Vila Sumaré,31573-688 Peixoto / MG,,,,
67,Luiz Fernando Freitas,henrique70@example.com,+55 51 8419 0015,298.701.536-40,1968-03-24,6199.74,2042,382765,active,2020-06-20 07:27:47.272670,"Fazenda Luiz Miguel Lopes, 11",Padre Eustáquio,02719966 da Conceição / TO,,,,
68,Sr. Davi Lucas da Cruz,faparecida@example.net,71 7188 1052,561.487.290-67,1980-11-27,8703.77,6604,494346,inactive,2020-03-14 06:38:07.883253,"Fazenda Rafaela da Luz, 6",São Vicente,59964-287 Martins / RJ,,,,
69,Sra. Maria Isis Cassiano,luiz-miguelferreira@example.org,+55 (071) 9288-0328,870.695.321-21,1989-04-23,5946.17,1914,709815,active,2020-08-23 11:05:54.657881,"Vale de Pimenta, 38",Caetano Furquim,42403341 Gonçalves / PA,,,,
70,Vinicius Rezende,ana-vitoria04@example.net,+55 (061) 3856 7541,784.239.561-64,1923-07-02,8910.57,1905,255934,inactive,2020-07-31 05:19:46.796921,"Morro Felipe Fogaça, 52",Comiteco,34749271 Melo da Prata / MS,,,,
71,Srta. Bella Vargas,sarah39@example.com,+55 71 2459 4547,638.297.154-55,1938-09-03,9799.03,1102,769001,inactive,2021-03-11 11:16:22.568435,"Núcleo Martins, 61",Buraco Quente,97752829 Montenegro / DF,,,,
72,Luísa Viana,mpeixoto@example.net,+55 41 3762-8186,215.749.086-85,1926-10-14,8104.68,9378,254966,inactive,2023-04-07 15:32:26.853872,"Rua de Caldeira, 3",Vila Dos Anjos,79457-767 Cardoso do Norte / MS,,,,
73,Guilherme da Rosa,portocarolina@example.com,+55 (081) 0835 5376,749.860.521-01,1938-06-19,9406.85,7080,811508,active,2023-09-21 06:23:38.072740,"Recanto Araújo, 56",Providencia,65583-948 Carvalho / RN,,,,
74,Melina Rios,abreumaria@example.net,0900-463-5323,314.586.207-35,2002-03-27,8451.2,2777,329029,active,2022-11-17 08:53:41.611768,"Ladeira Rodrigo Andrade, 91",Vila Madre Gertrudes 2ª Seção,33445-775 Nogueira / AL,,,,
75,Helena Souza,gustavo-henriqueandrade@example.com,(051) 4725 7226,681.945.073-75,1925-04-30,4100.42,6707,334412,active,2020-09-17 17:36:03.558216,"Via de Vargas, 7",Marilandia,66924207 Albuquerque do Norte / DF,,,,
76,Manuela Cavalcante,giovannadias@example.net,+55 (071) 0426-4760,814.723.956-46,1940-03-12,3981.7,7476,936963,inactive,2020-10-22 04:38:53.068836,"Viaduto de Fonseca, 87",Santa Rosa,38456332 Cardoso de Camargo / PA,,,,
77,Josué Vasconcelos,brayanmachado@example.org,+55 11 0083-0951,675.932.084-00,1945-09-21,5748.12,5862,453764,active,2020-09-03 05:58:08.234522,"Recanto Ian Nascimento, 3",Boa Viagem,90533-496 da Cruz / RR,,,,
78,Eloá Machado,machadohenry@example.net,(041) 1865 9232,716.398.052-30,1994-11-27,4880.14,3811,941422,active,2020-09-09 13:28:47.058608,Jardim de Teixeira,Vila Real 1ª Seção,25406-876 Gonçalves do Campo / AP,,,,
79,Vitor Porto,ecamargo@example.net,21 5826-1490,521.670.498-11,1981-05-14,4527.58,3670,672273,active,2021-08-08 04:27:26.601768,"Colônia de Freitas, 37",Vila Olhos D'água,35519682 Pires / TO,,,,
80,João Felipe Novaes,vinicius28@example.net,(011) 4975-9879,068.713.254-17,1941-02-06,5857.63,9465,908589,inactive,2023-11-07 18:42:18.436419,"Colônia Cardoso, 41",Cidade Nova,67163366 Vargas / PE,,,,
81,Pedro Lucas Pereira,giovannacosta@example.com,+55 (051) 0735 7789,034.567.189-93,1935-02-20,9041.65,4981,465763,inactive,2022-03-02 17:20:52.610652,"Viela Rios, 9",Boa União 1ª Seção,20401-162 Fonseca do Galho / AL,,,,
82,Anna Liz Duarte,andreazevedo@example.org,(041) 6001 9938,142.738.509-23,1999-09-27,2913.62,3211,884751,active,2023-05-23 08:35:53.439408,Feira Camargo,Itaipu,94422916 Gomes do Campo / MT,,,,
83,Maria Fernanda Monteiro,caleb34@example.net,71 0484 4736,269.058.473-56,1938-02-05,1826.61,3103,174929,active,2024-01-24 16:14:16.856245,"Passarela Fernandes, 715",Jaqueline,87943-972 Pires / AP,,,,
84,Alice Melo,ialves@example.net,41 4733-4651,176.023.495-80,1955-10-06,2286.19,3026,841673,inactive,2020-10-21 10:28:03.342467,"Pátio Apollo Mendonça, 85",Cônego Pinheiro 2ª Seção,75093520 Novaes / SP,,,,
85,Maria Luiza Marques,emanuellaalves@example.com,31 7145-1773,527.613.890-77,1950-06-02,1367.48,9360,836210,active,2020-09-05 01:37:35.101266,"Travessa Farias, 52",Jardim Leblon,11203319 Cunha / AP,,,,
86,Laís Santos,pedro-lucasmachado@example.net,0300 997 5066,146.507.938-66,1998-03-30,7320.01,8929,933252,inactive,2020-04-10 19:26:18.420830,"Chácara Machado, 249",Maria Goretti,17298-933 Albuquerque de Brito / MS,,,,
87,Luna Ferreira,rezendeantony@example.net,81 7487 7429,703.564.819-48,1998-07-28,8428.76,3697,489269,active,2022-01-31 12:12:25.797777,"Setor Rael Melo, 5",Chácara Leonina,97095-696 Porto / PE,,,,
88,Helena Jesus,fandrade@example.com,(011) 3877 4084,236.149.875-82,1990-11-10,4560.24,1324,267555,active,2020-09-29 17:35:17.070717,"Vila Abreu, 77",Universitário,01385072 Rodrigues / RO,,,,
89,Anthony Gabriel Peixoto,dribeiro@example.net,+55 (041) 0882 3719,710.534.896-84,1959-12-28,7348.74,9849,474299,inactive,2022-05-11 01:13:05.748988,Recanto de da Costa,Vale Do Jatoba,33135-852 Pacheco / MS,,,,
90,Lara da Costa,luiz-miguel93@example.net,81 2017 9243,389.012.546-89,1968-07-02,6761.14,1272,990464,inactive,2021-03-30 01:31:25.429958,"Esplanada Alves, 6",Vila Mangueiras,36250661 Viana do Galho / MG,,,,
91,Sra. Joana Lima,iansampaio@example.org,+55 51 0867 9520,187.925.364-09,1954-01-20,5808.49,5439,249611,active,2023-06-14 16:05:23.165731,"Feira Carlos Eduardo Viana, 3",Jardim Montanhês,33687833 Ferreira da Serra / PR,,,,
92,Brenda Garcia,antoniolopes@example.com,+55 (071) 9473-7270,742.053.689-92,2001-05-09,5295.7,8985,907013,active,2020-04-09 17:35:14.844933,"Setor de Silva, 66",Betânia,66724704 Pacheco de Castro / ES,,,,
93,Srta. Rebeca Correia,isabellyfonseca@example.org,(021) 6157 3642,021.934.856-15,2003-05-28,9656.35,1342,763902,inactive,2020-11-02 14:22:33.278504,"Parque de Fogaça, 84",Ouro Preto,83293150 da Conceição / GO,,,,
94,Davi Lucca Oliveira,allanada-rocha@example.com,(084) 9397-8781,871.605.924-76,1999-09-11,9206.55,5701,584278,active,2023-02-06 11:08:51.960289,"Área João Pires, 36",Vila Havaí,72674-900 Azevedo do Campo / RJ,,,,
95,Maria Alice Lima,icostela@example.net,0900 312 5512,389.764.501-75,1967-01-25,9645.13,3239,290330,inactive,2023-01-29 06:45:51.686903,"Residencial Ísis Ramos, 35",Vila Boa Vista,81773-993 Silveira / PB,,,,
96,Cauê Correia,eduardapimenta@example.org,+55 84 6293 1074,159.420.783-60,1969-08-14,9070.81,3487,172855,active,2020-08-12 11:41:48.106808,"Esplanada de da Luz, 90",Serra Do Curral,89976-324 Andrade / RJ,,,,
97,Helena Gomes,yfarias@example.org,+55 11 9316-5576,630.217.854-17,1950-11-15,7709.51,2726,693294,inactive,2024-03-22 04:55:53.892450,"Residencial Rezende, 93",Granja De Freitas,21242941 Sampaio / AM,,,,
98,Lívia Fonseca,joana13@example.com,(041) 0125 6299,495.130.267-52,1982-07-26,6745.22,6112,117817,inactive,2021-06-28 07:05:14.042800,"Vale Heloisa Santos, 75",Itatiaia,98533109 Pimenta / TO,,,,
99,João Felipe Pimenta,gcassiano@example.com,(021) 8409-1627,964.578.201-58,1981-02-19,8836.44,9265,691233,inactive,2024-04-26 23:55:02.958495,"Travessa de Martins, 264",Bonsucesso,53224535 Carvalho / DF,,,,
100,Guilherme Farias,smoreira@example.org,+55 (041) 3629-5740,102.458.973-05,1939-01-07,2026.8,7941,555089,inactive,2022-02-12 08:41:51.741809,"Aeroporto de Guerra, 2",Monte São José,79455063 Porto / AL,,,,
101,Otávio Porto,claricecunha@example.net,0900 370 9572,274.985.301-04,1983-12-16,9225.95,7412,458105,inactive,2023-07-26 19:58:57.058633,"Rua Vieira, 62",Confisco,48381-988 Moraes das Pedras / PE,,,,
102,Vitória Siqueira,mathiasguerra@example.org,(084) 3118 5537,650.382.174-35,2001-01-24,4915.22,1235,452790,active,2021-05-07 14:49:31.949862,Lagoa Almeida,Serrano,92198-673 Dias de Monteiro / PB,,,,
103,Luísa Farias,camaradiogo@example.net,31 4802 7013,092.835.467-92,1925-03-10,9204.26,8800,963506,inactive,2023-03-10 00:23:03.302618,Favela da Paz,Providencia,10749-006 Pires / RN,,,,
104,Isis Camargo,agatha66@example.com,(051) 1353-3730,254.189.370-14,1966-10-26,7868.66,8207,649701,inactive,2020-03-13 01:30:03.206166,"Morro Benjamin Silva, 22",Bairro Das Indústrias Ii,32848-858 Carvalho / AC,,,,
105,Dr. Leonardo Vieira,maria-helena54@example.com,81 2778-1802,503.879.214-60,1963-12-19,3650.1,4072,135821,active,2022-02-02 14:49:40.986092,"Residencial Fernandes, 20",Inconfidência,28919682 Rodrigues de Almeida / SE,,,,
106,Srta. Luiza Novais,maysa38@example.org,+55 51 9518 8927,280.713.649-40,1997-03-30,2467.07,8480,465098,inactive,2021-06-17 06:11:34.642858,"Colônia de Costela, 90",Santa Sofia,13942-723 Rezende de Brito / AP,,,,
107,Danilo Cunha,caio56@example.com,+55 (031) 4909-7174,362.819.074-69,1946-04-22,1030.93,4924,927761,inactive,2023-05-31 05:43:22.410297,"Núcleo Moraes, 79",Minas Caixa,19318808 Sousa / RR,,,,
108,Dr. Vitor Gabriel Vieira,joaquim34@example.net,(081) 3925 6429,705.619.243-25,1960-03-07,3206.33,1230,255894,inactive,2022-12-21 15:22:41.662734,"Trecho Farias, 75",Vila Tirol,35727-182 Albuquerque / PR,,,,
109,João Guilherme Porto,silveiramaria-luiza@example.net,+55 21 0394 9085,867.193.054-84,1989-05-12,9568.0,2521,380062,active,2023-04-26 21:39:15.184497,"Feira da Cunha, 251",São Salvador,29956203 Câmara / SC,,,,
110,Leandro da Mata,nascimentoelisa@example.org,(084) 8856 0090,372.804.569-10,1949-01-16,3152.73,9057,763479,active,2020-04-20 06:21:36.134365,Trecho Carvalho,Lagoa,29921169 Sampaio / RJ,,,,
111,Isabella Machado,henry-gabrielpereira@example.com,+55 (051) 3252 4002,329.861.075-59,1924-02-10,8139.14,8184,237491,active,2024-01-12 03:21:51.790295,"Distrito Maria Luísa Novais, 11",Conjunto Paulo Vi,84286-938 Cardoso / SP,,,,
112,Davi Luiz Costa,brayan14@example.net,0500 726 7453,357.412.908-41,1935-09-08,2836.66,6563,430919,inactive,2020-05-24 22:24:58.269988,Passarela Enzo Gabriel Oliveira,Horto Florestal,91536-548 Aragão / DF,,,,
113,Emanuelly Nogueira,silveiralais@example.net,31 3566-9466,851.302.467-80,1939-07-04,4761.4,2205,238315,active,2022-05-17 10:01:17.887183,"Viela Novais, 235",Conjunto Novo Dom Bosco,74213614 Cassiano / SE,,,,
